Timestamp,% Baseline,City,County,State
"Jan 1, 2014 7am",0.0079,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 8am",0.1019,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 9am",0.3932,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 10am",0.5447,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 11am",0.5485,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 12pm",0.3548,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 1pm",0.1934,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 2pm",0.1348,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 3pm",0.0452,Hanover,Plymouth,Massachusetts
"Jan 1, 2014 4pm",0.0075,Hanover,Plymouth,Massachusetts
"Jan 2, 2014 9am",0.0002,Hanover,Plymouth,Massachusetts
"Jan 2, 2014 12pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 2, 2014 1pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 2, 2014 2pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 4, 2014 11am",0.0002,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 8am",0.0008,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 9am",0.0051,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 10am",0.0084,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 11am",0.0173,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 12pm",0.0462,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 1pm",0.0962,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 2pm",0.0513,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 3pm",0.0099,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 4pm",0.0029,Hanover,Plymouth,Massachusetts
"Jan 6, 2014 5pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 6am",0.0003,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 7am",0.0106,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 8am",0.1136,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 9am",0.4277,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 10am",0.5972,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 11am",0.6329,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 12pm",0.4901,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 1pm",0.2517,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 2pm",0.1334,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 3pm",0.0403,Hanover,Plymouth,Massachusetts
"Jan 7, 2014 4pm",0.0056,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 7am",0.0112,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 8am",0.1137,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 9am",0.3865,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 10am",0.5597,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 11am",0.6076,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 12pm",0.4876,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 1pm",0.2526,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 2pm",0.1302,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 3pm",0.0409,Hanover,Plymouth,Massachusetts
"Jan 8, 2014 4pm",0.0058,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 7am",0.0121,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 8am",0.1137,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 9am",0.413,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 10am",0.5804,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 11am",0.6193,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 12pm",0.4897,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 1pm",0.2629,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 2pm",0.1328,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 3pm",0.043,Hanover,Plymouth,Massachusetts
"Jan 9, 2014 4pm",0.0055,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 7am",0.0014,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 8am",0.0083,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 9am",0.0154,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 10am",0.0185,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 11am",0.017,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 12pm",0.0248,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 1pm",0.0277,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 2pm",0.0307,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 3pm",0.0117,Hanover,Plymouth,Massachusetts
"Jan 10, 2014 4pm",0.0009,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 7am",0.0067,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 8am",0.0419,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 9am",0.0557,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 10am",0.0887,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 11am",0.0494,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 12pm",0.0484,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 1pm",0.0447,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 2pm",0.0339,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 3pm",0.0072,Hanover,Plymouth,Massachusetts
"Jan 11, 2014 4pm",0.0001,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 7am",0.0213,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 8am",0.0978,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 9am",0.3945,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 10am",0.5012,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 11am",0.5892,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 12pm",0.4755,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 1pm",0.192,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 2pm",0.113,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 3pm",0.048,Hanover,Plymouth,Massachusetts
"Jan 12, 2014 4pm",0.0091,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 7am",0.0123,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 8am",0.1072,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 9am",0.399,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 10am",0.5462,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 11am",0.4592,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 12pm",0.5136,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 1pm",0.3014,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 2pm",0.1535,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 3pm",0.0486,Hanover,Plymouth,Massachusetts
"Jan 13, 2014 4pm",0.0082,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 6am",0.0006,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 7am",0.0042,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 8am",0.0235,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 9am",0.0695,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 10am",0.0484,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 11am",0.1033,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 12pm",0.0412,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 1pm",0.0274,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 2pm",0.0244,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 3pm",0.0056,Hanover,Plymouth,Massachusetts
"Jan 14, 2014 4pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 7am",0.0145,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 8am",0.1159,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 9am",0.4077,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 10am",0.5598,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 11am",0.5934,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 12pm",0.5346,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 1pm",0.2492,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 2pm",0.1563,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 3pm",0.0731,Hanover,Plymouth,Massachusetts
"Jan 15, 2014 4pm",0.0088,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 7am",0.007,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 8am",0.0476,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 9am",0.059,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 10am",0.0758,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 11am",0.0762,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 12pm",0.0874,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 1pm",0.0701,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 2pm",0.0396,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 3pm",0.0113,Hanover,Plymouth,Massachusetts
"Jan 16, 2014 4pm",0.0028,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 7am",0.0168,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 8am",0.0757,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 9am",0.3695,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 10am",0.5516,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 11am",0.6248,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 12pm",0.5473,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 1pm",0.3546,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 2pm",0.1621,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 3pm",0.063,Hanover,Plymouth,Massachusetts
"Jan 17, 2014 4pm",0.0098,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 7am",0.0006,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 8am",0.0079,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 9am",0.0081,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 10am",0.012,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 11am",0.0181,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 12pm",0.0196,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 1pm",0.0104,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 2pm",0.079,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 3pm",0.0337,Hanover,Plymouth,Massachusetts
"Jan 18, 2014 4pm",0.0066,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 7am",0.0009,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 8am",0.0152,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 9am",0.024,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 10am",0.076,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 11am",0.125,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 12pm",0.3675,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 1pm",0.3683,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 2pm",0.1843,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 3pm",0.0697,Hanover,Plymouth,Massachusetts
"Jan 19, 2014 4pm",0.0125,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 6am",0.0046,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 7am",0.0372,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 8am",0.1344,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 9am",0.3687,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 10am",0.2503,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 11am",0.417,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 12pm",0.3303,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 1pm",0.1841,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 2pm",0.1705,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 3pm",0.0482,Hanover,Plymouth,Massachusetts
"Jan 20, 2014 4pm",0.0118,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 7am",0.0193,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 8am",0.102,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 9am",0.199,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 10am",0.2267,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 11am",0.1996,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 12pm",0.1735,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 1pm",0.1295,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 2pm",0.0819,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 3pm",0.0177,Hanover,Plymouth,Massachusetts
"Jan 21, 2014 4pm",0.001,Hanover,Plymouth,Massachusetts
"Jan 22, 2014 1pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 23, 2014 10am",0.0002,Hanover,Plymouth,Massachusetts
"Jan 23, 2014 11am",0.0002,Hanover,Plymouth,Massachusetts
"Jan 23, 2014 12pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 24, 2014 9am",0.0002,Hanover,Plymouth,Massachusetts
"Jan 24, 2014 10am",0.0002,Hanover,Plymouth,Massachusetts
"Jan 24, 2014 11am",0.0002,Hanover,Plymouth,Massachusetts
"Jan 24, 2014 12pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 24, 2014 1pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 7am",0.0072,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 8am",0.0413,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 9am",0.1447,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 10am",0.2431,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 11am",0.3132,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 12pm",0.3505,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 1pm",0.2046,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 2pm",0.0684,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 3pm",0.0238,Hanover,Plymouth,Massachusetts
"Jan 26, 2014 4pm",0.0022,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 7am",0.0045,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 8am",0.0405,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 9am",0.2274,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 10am",0.269,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 11am",0.2379,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 12pm",0.0942,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 1pm",0.079,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 2pm",0.1712,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 3pm",0.0609,Hanover,Plymouth,Massachusetts
"Jan 27, 2014 4pm",0.0131,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 6am",0.0002,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 7am",0.0132,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 8am",0.1019,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 9am",0.2442,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 10am",0.4206,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 11am",0.4321,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 12pm",0.4639,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 1pm",0.3685,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 2pm",0.1537,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 3pm",0.0713,Hanover,Plymouth,Massachusetts
"Jan 28, 2014 4pm",0.0108,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 8am",0.0012,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 9am",0.0077,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 10am",0.0166,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 11am",0.0829,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 12pm",0.1059,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 1pm",0.1747,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 2pm",0.1371,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 3pm",0.0305,Hanover,Plymouth,Massachusetts
"Jan 29, 2014 4pm",0.0064,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 7am",0.0109,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 8am",0.0449,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 9am",0.1499,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 10am",0.271,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 11am",0.3762,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 12pm",0.4978,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 1pm",0.3857,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 2pm",0.2033,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 3pm",0.0402,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 4pm",0.0084,Hanover,Plymouth,Massachusetts
"Jan 30, 2014 5pm",0.0002,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 7am",0.0086,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 8am",0.0426,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 9am",0.1159,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 10am",0.1952,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 11am",0.1963,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 12pm",0.2868,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 1pm",0.3262,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 2pm",0.188,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 3pm",0.0654,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 4pm",0.0119,Hanover,Plymouth,Massachusetts
"Jan 31, 2014 5pm",0.0002,Hanover,Plymouth,Massachusetts
"Feb 1, 2014 7am",0.0229,Hanover,Plymouth,Massachusetts
