Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2016,1,1,0,0,0,0,0,0,0,0,1,1,124.08,0,0.108,3.5,97.77,2,1010
2016,1,1,1,0,0,0,0,0,0,0,8,1,135.16,0,0.108,3.5,95.82,2,1010
2016,1,1,2,0,0,0,0,0,0,0,8,1,145.83,0,0.108,3.5,100,1,1010
2016,1,1,3,0,0,0,0,0,0,0,4,0,155.13,0,0.108,3.5,99.59,1,1010
2016,1,1,4,0,0,0,0,0,0,0,8,0,160.6,0,0.108,3.5,98.21,1,1010
2016,1,1,5,0,0,0,0,0,0,0,8,0,158.88,0,0.108,3.4,96.39,1,1010
2016,1,1,6,0,0,0,0,0,0,0,8,0,151.25,0,0.108,3.3,94.5,1,1010
2016,1,1,7,0,0,0,0,0,0,0,8,0,141.16,0,0.108,3.3,93.52,1,1010
2016,1,1,8,0,0,0,0,0,0,0,8,0,130.22,0,0.108,3.3,93.06,1,1010
2016,1,1,9,0,0,0,0,0,0,0,8,0,119.12,0,0.108,3.3,92.52,1,1010
2016,1,1,10,0,0,0,0,0,0,0,8,0,108.19,0,0.108,3.3,98.5,0,1010
2016,1,1,11,0,0,0,0,0,0,0,8,0,97.72,0,0.108,3.3,97.24,0,1010
2016,1,1,12,0,10,0,10,16,152,21,8,0,88,4,0.108,3.3,96.19,0,1010
2016,1,1,13,0,68,28,73,53,534,151,8,0,79.41,4,0.108,3.4,90.71,1,1010
2016,1,1,14,0,122,51,138,71,701,283,4,0,72.4,4,0.108,3.6,85.18,2,1010
2016,1,1,15,0,162,101,201,77,791,380,4,0,67.51,0,0.108,3.6,77.97,3,1010
2016,1,1,16,0,184,97,224,82,816,423,4,0,65.25,4,0.108,3.5,76.06,3,1000
2016,1,1,17,0,145,6,148,81,808,411,4,0,65.89,0,0.108,3.3,70.3,4,1000
2016,1,1,18,0,151,105,189,77,755,343,4,0,69.35,4,0.108,3.2,70.47,4,1000
2016,1,1,19,0,104,82,125,68,624,227,4,0,75.22,4,0.108,3.1,76.84,3,1000
2016,1,1,20,0,44,36,48,43,373,88,4,0,82.98,4,0.108,3.1,85.12,2,1000
2016,1,1,21,0,0,0,0,0,0,0,4,0,92.12,0,0.108,3.1,87.14,2,1000
2016,1,1,22,0,0,0,0,0,0,0,4,0,102.2,0,0.108,3.1,94.52,1,1000
2016,1,1,23,0,0,0,0,0,0,0,4,0,112.91,0,0.108,3.2,94.49,1,1000
2016,1,2,0,0,0,0,0,0,0,0,4,0,123.95,0,0.109,3.4,93.88,1,1000
2016,1,2,1,0,0,0,0,0,0,0,8,0,135.03,0,0.109,3.5,93.28,1,1000
2016,1,2,2,0,0,0,0,0,0,0,4,0,145.7,0,0.109,3.7,98.94,0,1000
2016,1,2,3,0,0,0,0,0,0,0,1,0,155,0,0.109,4.1,95.52,0,1000
2016,1,2,4,0,0,0,0,0,0,0,1,-1,160.5,0,0.109,4.5,90.21,0,1000
2016,1,2,5,0,0,0,0,0,0,0,1,-2,158.84,0,0.109,4.7,85.17,0,1000
2016,1,2,6,0,0,0,0,0,0,0,1,-2,151.26,0,0.109,4.7,82.28,0,1000
2016,1,2,7,0,0,0,0,0,0,0,4,-2,141.19,0,0.109,4.5,80.91,0,1010
2016,1,2,8,0,0,0,0,0,0,0,1,-2,130.26,0,0.109,4.3,80.33,0,1010
2016,1,2,9,0,0,0,0,0,0,0,4,-3,119.15,0,0.109,4.1,85.89,-1,1010
2016,1,2,10,0,0,0,0,0,0,0,1,-3,108.22,0,0.109,4,85.61,-1,1010
2016,1,2,11,0,0,0,0,0,0,0,4,-3,97.74,0,0.109,3.8,85.82,-1,1010
2016,1,2,12,0,23,0,23,15,210,23,4,-2,88.01,4,0.109,3.8,80.3,0,1010
2016,1,2,13,0,47,614,160,47,614,160,4,-2,79.4,4,0.109,3.8,80.83,0,1010
2016,1,2,14,0,62,768,295,62,768,295,0,-2,72.37,0,0.109,3.8,80.3,0,1010
2016,1,2,15,0,69,839,391,69,839,391,0,-3,67.46,0,0.109,3.7,73.08,1,1010
2016,1,2,16,0,74,858,434,74,858,434,0,-3,65.17,0,0.109,3.6,66.8,2,1010
2016,1,2,17,0,74,843,420,74,843,420,0,-3,65.79,0,0.109,3.5,66.72,2,1000
2016,1,2,18,0,69,796,351,69,796,351,0,-3,69.23,0,0.109,3.3,67.35,2,1000
2016,1,2,19,0,59,690,236,59,690,236,0,-3,75.1,0,0.109,3.2,68.09,2,1000
2016,1,2,20,0,36,477,95,36,477,95,1,-2,82.85,0,0.109,3.2,74.99,1,1000
2016,1,2,21,0,0,0,0,0,0,0,1,-2,91.98,0,0.109,3.3,81.13,0,1010
2016,1,2,22,0,0,0,0,0,0,0,1,-2,102.06,0,0.109,3.3,81.48,0,1010
2016,1,2,23,0,0,0,0,0,0,0,1,-2,112.77,0,0.109,3.3,81.1,0,1010
2016,1,3,0,0,0,0,0,0,0,0,1,-2,123.81,0,0.866,3.1,80.4,0,1010
2016,1,3,1,0,0,0,0,0,0,0,1,-3,134.89,0,0.866,3,79.77,0,1010
2016,1,3,2,0,0,0,0,0,0,0,4,-3,145.56,0,0.866,3.1,79.15,0,1000
2016,1,3,3,0,0,0,0,0,0,0,1,-2,154.87,0,0.866,3.2,81.5,0,1000
2016,1,3,4,0,0,0,0,0,0,0,8,-2,160.4,0,0.866,3.3,83.59,0,1000
2016,1,3,5,0,0,0,0,0,0,0,1,-2,158.8,0,0.866,3.5,84.5,0,1000
2016,1,3,6,0,0,0,0,0,0,0,1,-2,151.27,0,0.866,3.6,85.17,0,1000
2016,1,3,7,0,0,0,0,0,0,0,1,-2,141.21,0,0.866,3.6,84.86,0,1000
2016,1,3,8,0,0,0,0,0,0,0,4,-2,130.29,0,0.866,3.5,90.84,-1,1000
2016,1,3,9,0,0,0,0,0,0,0,1,-2,119.18,0,0.866,3.5,91.38,-1,1000
2016,1,3,10,0,0,0,0,0,0,0,8,-2,108.24,0,0.866,3.5,92.07,-1,1000
2016,1,3,11,0,0,0,0,0,0,0,4,-1,97.75,0,0.866,3.4,86.67,0,1000
2016,1,3,12,0,16,191,22,16,191,22,1,-1,88.01,0,0.866,3.4,89.25,0,1000
2016,1,3,13,0,53,585,160,53,585,160,1,0,79.38,0,0.866,3.7,88.3,1,1000
2016,1,3,14,0,72,750,300,72,750,300,0,0,72.33,0,0.866,4.1,81.02,3,1000
2016,1,3,15,0,83,824,400,83,824,400,0,0,67.4,0,0.866,4.2,76.24,4,1000
2016,1,3,16,0,88,850,447,88,850,447,0,0,65.08,0,0.866,4.1,70.15,5,1000
2016,1,3,17,0,89,837,433,89,837,433,1,0,65.68,0,0.866,4,68.54,5,1000
2016,1,3,18,0,104,556,303,80,794,364,2,0,69.1,4,0.866,3.8,67.57,5,1000
2016,1,3,19,0,66,689,245,66,689,245,0,0,74.96,0,0.866,3.6,72.86,4,1000
2016,1,3,20,0,40,476,100,40,476,100,1,0,82.71,0,0.866,3.5,80.03,3,1000
2016,1,3,21,0,0,0,0,0,0,0,1,0,91.84,0,0.866,3.4,86.46,2,1000
2016,1,3,22,0,0,0,0,0,0,0,1,0,101.92,0,0.866,3.3,92.23,1,1000
2016,1,3,23,0,0,0,0,0,0,0,1,0,112.63,0,0.866,3.2,91.21,1,1000
2016,1,4,0,0,0,0,0,0,0,0,1,0,123.67,0,0.866,3.2,97.51,0,1000
2016,1,4,1,0,0,0,0,0,0,0,1,0,134.74,0,0.866,3.2,96.88,0,1000
2016,1,4,2,0,0,0,0,0,0,0,1,0,145.42,0,0.866,3.2,96.38,0,1000
2016,1,4,3,0,0,0,0,0,0,0,1,0,154.73,0,0.866,3.2,96.23,0,1000
2016,1,4,4,0,0,0,0,0,0,0,1,0,160.28,0,0.866,3.2,95.86,0,1000
2016,1,4,5,0,0,0,0,0,0,0,1,0,158.75,0,0.866,3.1,95.11,0,1000
2016,1,4,6,0,0,0,0,0,0,0,4,0,151.27,0,0.866,3.1,94.84,0,1000
2016,1,4,7,0,0,0,0,0,0,0,4,-1,141.23,0,0.866,3.6,92.49,0,1000
2016,1,4,8,0,0,0,0,0,0,0,4,-2,130.32,0,0.866,4,85.51,0,1000
2016,1,4,9,0,0,0,0,0,0,0,4,-3,119.21,0,0.866,4.2,79.09,0,1000
2016,1,4,10,0,0,0,0,0,0,0,4,-3,108.26,0,0.866,4.3,80.23,-1,1000
2016,1,4,11,0,0,0,0,0,0,0,4,-4,97.77,0,0.866,4.4,76.43,-1,1000
2016,1,4,12,0,19,0,19,17,153,23,4,-5,88.01,4,0.866,4.6,77.95,-2,1010
2016,1,4,13,0,66,371,135,61,551,162,8,-6,79.36,4,0.866,4.8,73.25,-2,1010
2016,1,4,14,0,94,518,252,84,719,303,4,-6,72.29,4,0.866,4.9,69.83,-2,1010
2016,1,4,15,0,112,533,318,89,827,408,4,-7,67.33,0,0.866,5,68.43,-2,1010
2016,1,4,16,0,140,505,354,97,845,454,4,-7,64.99,4,0.866,5,63.5,-1,1010
2016,1,4,17,0,168,39,185,98,830,442,4,-6,65.56,4,0.866,5,64.04,-1,1010
2016,1,4,18,0,143,35,156,89,788,372,4,-6,68.97,4,0.866,5.1,69.5,-2,1010
2016,1,4,19,0,99,22,105,75,674,252,4,-6,74.82,4,0.866,5.2,69.67,-2,1010
2016,1,4,20,0,43,0,43,47,438,103,4,-6,82.57,4,0.866,5.4,74.73,-3,1010
2016,1,4,21,0,0,0,0,0,0,0,4,-6,91.69,0,0.866,5.5,73.99,-3,1010
2016,1,4,22,0,0,0,0,0,0,0,4,-7,101.78,0,0.866,5.6,78.21,-4,1010
2016,1,4,23,0,0,0,0,0,0,0,4,-7,112.48,0,0.866,5.7,76.42,-4,1010
2016,1,5,0,0,0,0,0,0,0,0,4,-7,123.52,0,0.866,5.9,80.23,-5,1010
2016,1,5,1,0,0,0,0,0,0,0,4,-8,134.6,0,0.866,6.1,77.3,-5,1020
2016,1,5,2,0,0,0,0,0,0,0,4,-9,145.27,0,0.866,6.3,79.05,-6,1020
2016,1,5,3,0,0,0,0,0,0,0,4,-9,154.58,0,0.866,6.4,74.07,-6,1020
2016,1,5,4,0,0,0,0,0,0,0,4,-10,160.16,0,0.866,6.3,75.71,-7,1020
2016,1,5,5,0,0,0,0,0,0,0,4,-10,158.69,0,0.866,6.2,79.24,-8,1020
2016,1,5,6,0,0,0,0,0,0,0,4,-11,151.26,0,0.866,6.1,78.23,-8,1020
2016,1,5,7,0,0,0,0,0,0,0,4,-11,141.24,0,0.866,6.1,77.51,-8,1020
2016,1,5,8,0,0,0,0,0,0,0,4,-11,130.34,0,0.866,6,83.04,-9,1020
2016,1,5,9,0,0,0,0,0,0,0,4,-11,119.23,0,0.866,5.9,82.28,-9,1020
2016,1,5,10,0,0,0,0,0,0,0,1,-11,108.28,0,0.866,5.8,81.74,-9,1020
2016,1,5,11,0,0,0,0,0,0,0,1,-11,97.77,0,0.866,5.8,81.74,-9,1020
2016,1,5,12,0,17,262,26,17,262,26,1,-11,88,0,0.866,5.7,76.54,-8,1020
2016,1,5,13,0,51,678,176,51,678,176,4,-11,79.34,4,0.866,5.6,72.26,-7,1030
2016,1,5,14,0,68,831,322,68,831,322,1,-10,72.24,0,0.866,5.3,68,-6,1030
2016,1,5,15,0,75,908,426,75,908,426,1,-10,67.25,0,0.866,5,64.07,-5,1030
2016,1,5,16,0,78,934,474,78,934,474,1,-10,64.89,0,0.866,4.5,60.3,-4,1020
2016,1,5,17,0,75,930,462,75,930,462,1,-10,65.44,0,0.866,3.9,56.36,-3,1020
2016,1,5,18,0,69,891,391,69,891,391,0,-10,68.84,0,0.866,3.3,56.42,-3,1020
2016,1,5,19,0,57,806,269,57,806,269,0,-10,74.67,0,0.866,2.9,56.51,-3,1030
2016,1,5,20,0,36,608,116,36,608,116,1,-9,82.42,0,0.866,2.7,63.16,-4,1030
2016,1,5,21,0,0,0,0,0,0,0,4,-8,91.54,0,0.866,2.6,73.55,-5,1030
2016,1,5,22,0,0,0,0,0,0,0,1,-9,101.63,0,0.866,2.7,73.09,-5,1030
2016,1,5,23,0,0,0,0,0,0,0,1,-9,112.33,0,0.866,2.7,72.91,-5,1030
2016,1,6,0,0,0,0,0,0,0,0,1,-9,123.37,0,0.866,2.7,72.73,-5,1030
2016,1,6,1,0,0,0,0,0,0,0,1,-9,134.45,0,0.866,2.7,78.21,-6,1030
2016,1,6,2,0,0,0,0,0,0,0,1,-9,145.12,0,0.866,2.8,72.52,-5,1030
2016,1,6,3,0,0,0,0,0,0,0,1,-9,154.43,0,0.866,3,73.12,-5,1030
2016,1,6,4,0,0,0,0,0,0,0,1,-8,160.03,0,0.866,3.1,73.72,-5,1030
2016,1,6,5,0,0,0,0,0,0,0,1,-8,158.63,0,0.866,3.2,73.88,-5,1030
2016,1,6,6,0,0,0,0,0,0,0,1,-8,151.24,0,0.866,3.2,74.21,-6,1030
2016,1,6,7,0,0,0,0,0,0,0,1,-8,141.25,0,0.866,3.1,74.51,-6,1030
2016,1,6,8,0,0,0,0,0,0,0,8,-8,130.35,0,0.866,3,75.31,-5,1020
2016,1,6,9,0,0,0,0,0,0,0,1,-8,119.24,0,0.866,2.9,75.92,-5,1020
2016,1,6,10,0,0,0,0,0,0,0,1,-8,108.29,0,0.866,2.9,77.5,-5,1020
2016,1,6,11,0,0,0,0,0,0,0,1,-7,97.77,0,0.866,2.8,79.96,-5,1020
2016,1,6,12,0,15,324,26,15,324,26,1,-7,87.98,0,0.866,2.7,76.2,-4,1020
2016,1,6,13,0,45,713,177,45,713,177,1,-7,79.3,0,0.866,2.5,67.53,-2,1020
2016,1,6,14,0,61,856,323,61,856,323,0,-6,72.18,0,0.866,2.4,60.44,0,1020
2016,1,6,15,0,72,914,427,72,914,427,0,-6,67.17,0,0.866,2.6,57.92,1,1020
2016,1,6,16,0,78,933,475,78,933,475,0,-6,64.78,0,0.866,2.8,53.67,2,1020
2016,1,6,17,0,78,921,463,78,921,463,0,-5,65.31,0,0.866,2.8,51.78,3,1020
2016,1,6,18,0,71,880,391,71,880,391,0,-5,68.69,0,0.866,2.8,51.06,4,1020
2016,1,6,19,0,58,793,270,58,793,270,0,-3,74.52,0,0.866,2.9,61.13,3,1020
2016,1,6,20,0,37,595,117,37,595,117,0,-2,82.26,0,0.866,3.1,77.37,1,1020
2016,1,6,21,0,0,0,0,0,0,0,1,-3,91.39,0,0.866,3.4,79.72,0,1020
2016,1,6,22,0,0,0,0,0,0,0,1,-2,101.47,0,0.866,3.5,81.08,0,1020
2016,1,6,23,0,0,0,0,0,0,0,1,-2,112.18,0,0.866,3.5,81.78,0,1020
2016,1,7,0,0,0,0,0,0,0,0,1,-2,123.22,0,0.109,3.4,81.65,0,1020
2016,1,7,1,0,0,0,0,0,0,0,0,-2,134.3,0,0.109,3.3,81.08,0,1020
2016,1,7,2,0,0,0,0,0,0,0,1,-2,144.96,0,0.109,3.2,80.6,0,1020
2016,1,7,3,0,0,0,0,0,0,0,1,-3,154.27,0,0.109,3.2,86.05,-1,1020
2016,1,7,4,0,0,0,0,0,0,0,0,-3,159.9,0,0.109,3.1,85.26,-1,1020
2016,1,7,5,0,0,0,0,0,0,0,1,-3,158.55,0,0.109,3,84.17,-1,1020
2016,1,7,6,0,0,0,0,0,0,0,0,-3,151.22,0,0.109,2.8,89.03,-2,1020
2016,1,7,7,0,0,0,0,0,0,0,0,-3,141.25,0,0.109,2.7,87.19,-2,1020
2016,1,7,8,0,0,0,0,0,0,0,0,-4,130.36,0,0.109,2.6,92.27,-3,1020
