objective,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,mean_score,std_score
mape,1050,1050,7,0.042,0.3,0.882836794632876,0.005561123012600221
mae,1350,300,7,0.014,0.8,0.8714891162780715,0.005626098997748318
mae,950,900,7,0.016,0.9,0.8803449239671841,0.005900217786460106
mape,150,150,7,0.038,0.4,0.8716971595171926,0.005822081427473696
mae,850,800,10,0.032,0.3,0.8929594855113145,0.004779277408384738
mae,1050,100,-1,0.044,0.2,0.8677848229479952,0.004094524832208733
mape,650,1150,6,0.04,0.7,0.8774881472623948,0.006391859446527045
mape,1250,300,-1,0.006,0.3,0.7984502648529221,0.0018763543373132218
mape,1050,850,12,0.026,0.8,0.8955771011951128,0.00463361380396059
mae,450,250,10,0.03,0.4,0.889436494745219,0.004666601026102364
mape,350,550,12,0.03,0.8,0.8940524005760778,0.004491761699634739
mape,950,1450,8,0.02,0.9,0.8848852831906693,0.0051537454109105
mape,650,400,6,0.048,0.3,0.873097769732674,0.0062164193252272895
mae,1300,550,11,0.03,0.8,0.8973037731638964,0.005139440206133144
rmse,1050,200,6,0.032,0.6,0.8853243922390925,0.005840152698948719
mae,800,950,9,0.018,0.2,0.8794387817611065,0.004992262762126415
mape,650,1400,-1,0.01,0.1,0.8486535202197234,0.0039511659332832514
mae,1150,1300,11,0.008,0.3,0.8918652958110779,0.005372320465953413
mape,550,850,-1,0.018,0.3,0.8952059512004461,0.004635580172601543
mae,350,1450,6,0.036,0.9,0.8797514592457684,0.0060255464002361165
mae,1400,1250,8,0.012,0.3,0.884823359494841,0.005734754545232274
rmse,300,1350,7,0.028,0.2,0.9015083478518993,0.00296905724814813
rmse,1400,450,4,0.04,0.4,0.8777572956161952,0.005169627516624785
rmse,1050,100,8,0.046,0.6,0.8912331711890765,0.004198350455516064
mape,850,1050,7,0.01,0.9,0.8773162256609691,0.00658741866936075
mape,650,600,8,0.046,0.8,0.885400447636267,0.00604186718898575
rmse,350,1300,4,0.01,0.9,0.872377230714459,0.007464144627250015
rmse,600,300,3,0.028,0.3,0.8444725181397073,0.005239852235927593
mape,950,400,10,0.01,0.8,0.8817835326744811,0.00524069382655924
rmse,850,1100,9,0.026,0.6,0.9109903543683983,0.0034312019702261846
rmse,1200,1450,5,0.01,0.1,0.8630759021611911,0.004445870082911945
mae,1100,900,-1,0.032,0.9,0.905262596445807,0.0046793683235698495
mae,250,1400,8,0.016,0.4,0.8880682956029624,0.006212811162062908
rmse,200,500,7,0.006,0.5,0.8732727764439763,0.0047750364008381126
rmse,350,550,6,0.042,0.6,0.9002023050367358,0.004489817510555377
mae,400,1450,8,0.024,0.5,0.8901583839479719,0.005626810738738559
mape,600,750,12,0.006,0.5,0.8860819682749603,0.004655815758062538
mae,1250,850,7,0.044,0.1,0.8655227208300044,0.004019476020620839
rmse,1400,400,-1,0.024,0.5,0.9120207076536161,0.003932206186275516
mape,600,1150,-1,0.018,0.5,0.9015039317045984,0.004049807247074108
rmse,200,1300,6,0.018,0.5,0.8997003495617972,0.00466722865870179
rmse,900,1000,3,0.038,0.6,0.8726766611858188,0.00537922415804161
rmse,750,750,12,0.034,0.6,0.9119766679163852,0.0036724702058200413
mae,1300,550,12,0.034,0.6,0.8991656436827724,0.005277589564731608
mape,1350,850,3,0.036,0.5,0.8453865253676315,0.007736956097741137
rmse,1050,300,10,0.024,0.3,0.900079317977165,0.004356868656640486
rmse,500,1450,9,0.008,0.1,0.8755488223336902,0.003627612070985237
rmse,250,400,9,0.006,0.4,0.8677508354156928,0.004165867906260326
mape,1050,600,4,0.032,0.5,0.8577663688223047,0.007073768734511927
mae,200,950,6,0.036,0.6,0.8788676610342969,0.007193781212022022
mape,100,250,4,0.006,0.6,0.7149516460357301,0.004622835001005944
