,% Baseline,Latitude,Longitude,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Year,Month,Day,Hour,Minute
0,0.0079,42.13,-70.86,-3,-6,0.0,8.7,2,1,-14,-13,-5,-13,24,13,52,0.0,1027,-5,10,262,18,0,0,0,0,0,0,1,-9.0,141.17,0,0.12,4.4,69.95,-5.0,1020,2014,1,1,7,0
1,0.1019,42.13,-70.86,-3,-6,0.0,8.7,2,1,-14,-12,-5,-12,26,11,49,0.0,1027,-5,10,266,20,0,0,0,0,0,0,4,-9.0,130.24,0,0.12,4.3,74.24,-6.0,1020,2014,1,1,8,0
2,0.3932,42.13,-70.86,-3,-6,0.0,8.7,2,1,-14,-11,-4,-11,27,9,46,0.0,1028,-4,10,270,22,0,0,0,0,0,0,4,-10.0,119.14,0,0.12,4.3,73.07,-6.0,1020,2014,1,1,9,0
3,0.5447,42.13,-70.86,-3,-6,0.0,8.7,2,1,-14,-10,-4,-10,25,15,46,0.0,1028,-4,10,273,21,0,0,0,0,0,0,4,-10.0,108.2,0,0.12,4.1,72.43,-6.0,1020,2014,1,1,10,0
4,0.5485,42.13,-70.86,-3,-6,0.0,8.7,2,1,-14,-10,-3,-10,23,21,45,0.0,1027,-3,10,276,19,0,0,0,0,0,0,1,-10.0,97.73,0,0.12,3.9,72.47,-6.0,1020,2014,1,1,11,0
5,0.3548,42.13,-70.86,-3,-6,0.0,8.7,2,1,-13,-9,-3,-9,22,28,44,0.0,1027,-3,10,279,18,15,232,23,15,232,23,1,-9.0,88.0,0,0.12,3.7,68.04,-5.0,1020,2014,1,1,12,0
6,0.1934,42.13,-70.86,-3,-6,0.0,8.7,2,1,-13,-9,-3,-9,22,34,45,0.0,1027,-3,10,281,18,47,630,162,47,630,162,1,-9.0,79.4,0,0.12,3.7,64.0,-4.0,1020,2014,1,1,13,0
7,0.1348,42.13,-70.86,-3,-6,0.0,8.7,2,1,-13,-9,-3,-9,23,39,46,0.0,1027,-3,10,284,17,62,781,298,62,781,298,0,-10.0,72.39,0,0.12,3.6,58.17,-3.0,1020,2014,1,1,14,0
8,0.0452,42.13,-70.86,-3,-6,0.0,8.7,2,1,-13,-8,-3,-8,24,45,47,0.0,1027,-3,10,286,17,69,847,394,69,847,394,0,-10.0,67.49,0,0.12,3.6,52.61,-2.0,1020,2014,1,1,15,0
9,0.0075,42.13,-70.86,-3,-6,0.0,8.7,2,1,-12,-8,-3,-8,19,51,48,0.0,1027,-3,10,303,13,135,487,339,73,865,436,4,-10.0,65.21,0,0.12,3.5,52.58,-2.0,1020,2014,1,1,16,0
10,0.0002,42.13,-70.86,-2,-5,0.5,3.4,1,6,-4,-9,-2,-9,48,100,86,0.6,1023,-2,0,55,35,0,0,0,0,0,0,7,-6.0,119.17,0,0.866,2.8,82.53,-4.0,1020,2014,1,2,9,0
11,0.0002,42.13,-70.86,-2,-5,0.5,3.4,1,6,-4,-10,-2,-10,45,100,87,0.0,1019,-2,10,50,33,12,0,12,15,23,15,7,-5.0,88.01,4,0.866,3.3,81.81,-3.0,1010,2014,1,2,12,0
12,0.0002,42.13,-70.86,-2,-5,0.5,3.4,1,6,-4,-10,-2,-10,49,100,89,0.0,1017,-2,7,52,36,69,89,86,90,277,141,7,-5.0,79.39,0,0.866,3.6,79.15,-2.0,1010,2014,1,2,13,0
13,0.0002,42.13,-70.86,-2,-5,0.5,3.4,1,6,-4,-10,-2,-10,53,100,90,0.4,1016,-2,3,54,39,114,22,121,134,459,273,7,-4.0,72.35,0,0.866,4.1,83.36,-2.0,1010,2014,1,2,14,0
14,0.0002,42.13,-70.86,-3,-13,0.0,8.7,2,20,-12,-13,-6,-13,25,7,61,0.0,1030,-6,10,223,20,0,0,0,0,0,0,8,-17.0,97.77,0,0.866,2.7,74.64,-14.0,1020,2014,1,4,11,0
15,0.0008,42.13,-70.86,11,-1,0.0,3.4,2,33,11,7,11,7,66,99,99,0.5,1000,11,10,170,31,0,0,0,0,0,0,7,6.0,130.36,0,0.866,4.2,100.0,6.0,1000,2014,1,6,8,0
16,0.0051,42.13,-70.86,11,-1,0.0,3.4,2,33,11,8,11,8,73,98,99,0.7,998,11,10,168,35,0,0,0,0,0,0,1,6.0,119.25,0,0.866,4.1,100.0,6.0,1000,2014,1,6,9,0
17,0.0084,42.13,-70.86,11,-1,0.0,3.4,2,33,11,8,11,8,67,99,99,0.4,997,11,10,177,32,0,0,0,0,0,0,4,7.0,108.29,0,0.866,4.1,100.0,7.0,990,2014,1,6,10,0
18,0.0173,42.13,-70.86,11,-1,0.0,3.4,2,33,11,8,11,8,60,99,98,0.0,996,11,10,186,28,0,0,0,0,0,0,3,7.0,97.77,0,0.866,4.5,100.0,7.0,990,2014,1,6,11,0
19,0.0462,42.13,-70.86,11,-1,0.0,3.4,2,33,11,8,11,8,53,100,98,0.0,995,11,10,195,25,12,0,12,16,127,20,4,8.0,87.97,4,0.866,4.8,100.0,8.0,990,2014,1,6,12,0
20,0.0962,42.13,-70.86,11,-1,0.0,3.4,2,33,9,6,10,6,48,92,97,0.0,995,10,7,220,25,27,0,27,56,489,147,7,8.0,79.28,0,0.866,4.8,100.0,8.0,990,2014,1,6,13,0
21,0.0513,42.13,-70.86,11,-1,0.0,3.4,2,33,8,5,9,5,44,85,96,0.1,995,9,5,245,24,106,0,106,82,636,277,7,9.0,72.15,0,0.866,4.9,100.0,8.0,990,2014,1,6,14,0
22,0.0099,42.13,-70.86,11,-1,0.0,3.4,2,33,7,4,8,4,39,77,95,0.1,995,8,2,270,23,115,0,115,102,686,369,6,9.0,67.13,0,0.866,5.0,100.0,9.0,990,2014,1,6,15,0
23,0.0029,42.13,-70.86,11,-1,0.0,3.4,2,33,4,1,5,1,36,70,89,0.0,996,5,1,274,22,144,1,145,115,696,412,7,9.0,64.73,0,0.866,5.1,100.0,10.0,990,2014,1,6,16,0
24,0.0002,42.13,-70.86,11,-1,0.0,3.4,2,33,1,-2,3,-2,33,63,83,0.1,997,3,1,279,21,161,23,170,114,690,403,6,9.0,65.25,0,0.866,4.8,100.0,9.0,980,2014,1,6,17,0
